img,state
img/sample_0_state_free.jpg,1
img/sample_0_state_close.jpg,2
img/sample_1_state_free.jpg,1
img/sample_1_state_close.jpg,2
img/sample_2_state_free.jpg,1
img/sample_2_state_close.jpg,2
img/sample_3_state_free.jpg,1
img/sample_3_state_close.jpg,2
img/sample_4_state_free.jpg,1
img/sample_4_state_close.jpg,2
img/sample_5_state_free.jpg,1
img/sample_5_state_close.jpg,2
img/sample_6_state_free.jpg,1
img/sample_6_state_close.jpg,2
img/sample_7_state_free.jpg,1
img/sample_7_state_close.jpg,2
img/sample_8_state_free.jpg,1
img/sample_8_state_close.jpg,2
img/sample_9_state_free.jpg,1
img/sample_9_state_close.jpg,2
img/sample_10_state_free.jpg,1
img/sample_10_state_close.jpg,2
img/sample_11_state_free.jpg,1
img/sample_11_state_close.jpg,2
img/sample_12_state_free.jpg,1
img/sample_12_state_close.jpg,2
img/sample_13_state_free.jpg,1
img/sample_13_state_close.jpg,2
img/sample_14_state_free.jpg,1
img/sample_14_state_close.jpg,2
img/sample_15_state_free.jpg,1
img/sample_15_state_close.jpg,2
img/sample_16_state_free.jpg,1
img/sample_16_state_close.jpg,2
img/sample_17_state_free.jpg,1
img/sample_17_state_close.jpg,2
img/sample_18_state_free.jpg,1
img/sample_18_state_close.jpg,2
img/sample_19_state_free.jpg,1
img/sample_19_state_close.jpg,2
